238,816-D ,15,A.GTR 15.4 
239,816-D ,16,T.RSE 16.4 
240,816-D ,17,A.PNO 17.4 
241,816-D ,18,DM.VC.18.4 
242,816-D ,19,ADTVE 19.4 
243,816-D ,20,SYNBS 20.4 
244,816-D ,21,BCBRS 21.4 
245,816-D ,22,T.TRP 22.4 
246,816-D ,23,CELLO 23.4 
247,816-D ,24,BCBSN 24.4 
248,816-D ,25,NOSTN 25.4 
249,816-D ,26,FIDLE 26.4 
250,816-D ,27,DMBEL 27.4 
251,816-D ,28,SITAR 28.4 
252,816-D ,29,P.STG 29.4 
253,816-D ,30,SMASH 30.4 
254,816-D ,31,GLOCK 31.4 
255,816-D ,32,ANLNG 32.4 
256,816-G ,1,AC.PNO 1.7 
257,816-G ,2,STRGS 2.7 
258,816-G ,3,VOICE 3.7 
259,816-G ,4,VOICE 4.7 
260,816-G ,5,SYNTRP 5.7 
261,816-G ,6,T.PNO 6.7 
262,816-G ,7,CELLO 7.7 
263,816-G ,8,SCMORG 8.7 
264,816-G ,9,BC.HRN 9.7 
265,816-G ,10,CRSYN 10.7 
266,816-G ,11,A.PNO 11.7 
267,816-G ,12,P.DRM 12.7 
268,816-G ,13,BASS 13.7 
269,816-G ,14,SYNST 14.7 
270,816-G ,15,OBOE 15.7 
271,816-G ,16,THBL 16.7 
272,816-G ,17,VOICE 17.7 
273,816-G ,18,I.SPC 18.7 
274,816-G ,19,DNGL 19.7 
275,816-G ,20,H.MTL 20.7 
276,816-G ,21,CELLO 21.7 
277,816-G ,22,P.BAS 22.7 
278,816-G ,23,F.HRN 23.7 
279,816-G ,24,D.BAS 24.7 
280,816-G ,25,H.BAS 25.7 
281,816-G ,26,F.BAS 26.7 
282,816-G ,27,S.BAS 27.7 
283,816-G ,28,WDBSS 28.7 
284,816-G ,29,SMBSS 29.7 
285,816-G ,30,F.BSS 30.7 
286,816-G ,31,F.BSS 31.7 
287,816-G ,32,S.BSS 32.7 
288,816-H ,1,STRG.R.1.8 
289,816-H ,2,VIOLIN 2.8 
290,816-H ,3,P.ORG 3.8 
291,816-H ,4,VOICE 4.8 
292,816-H ,5,B.TRP 5.8 
293,816-H ,6,T.PNO 6.8 
294,816-H ,7,CELLO 7.8 
295,816-H ,8,F.ORG 8.8 
296,816-H ,9,BC HRN 9.8 
297,816-H ,10,CRSYN 10.8 
298,816-H ,11,A.PNO 11.8 
299,816-H ,12,ODABL 12.8 
300,816-H ,13,CLAV 13.8 
301,816-H ,14,SYNST 14.8 
302,816-H ,15,VIOLN 15.8 
303,816-H ,16,HIBEL 16.8 
304,816-H ,17,VOICE 17.8 
305,816-H ,18,I.SPC 18.8 
306,816-H ,19,DNGLL 19.8 
307,816-H ,20,HARPS 20.8 
308,816-H ,21,TMPNI 21.8 
309,816-H ,22,R.CYM 22.8 
310,816-H ,23,HORNS 23.8 
311,816-H ,24,MBLOK 24.8 
312,816-H ,25,SYNDM 25.8 
313,816-H ,26,TMB 26.8 
314,816-H ,27,SKLS 27.8 
315,816-H ,28,QKR 28.8 
316,816-H ,29,CSTNT 29.8 
317,816-H ,30,TMBLN 30.8 
318,816-H ,31,HDRUM 31.8 
319,816-H ,32,TRIGL 32.8 
320,ARPCOMBO ,1,ARP & BRAS 
321,ARPCOMBO ,2,ORIENT ARP 
322,ARPCOMBO ,3,ARP+PRETTY 
323,ARPCOMBO ,4,ARP+FRHORN 
